id_venta;sucursal;fecha;producto;cantidad;precio_unitario;total;vendedor
V00001;Cuenca;10/06/2025;Aire Acondicionado;5;770,42;3852,10;José Luis Solórzano
V00002;Cuenca;23/04/2025;Cafetera;3;282,22;846,66;María José Andrade
V00003;Quito;24/08/2025;Cocineta;1;373,45;373,45;María José Andrade
V00004;Guayaquil;18/05/2025;Televisión;3;57,33;171,99;José Luis Solórzano
V00005;Quito;01/01/2025;Cocineta;1;949,23;949,23;Paola Vélez
V00006;Cuenca;15/02/2025;Televisión;4;234,27;937,08;Andrés Villón
V00007;Guayaquil;09/03/2025;Cocineta;3;925,86;2777,58;Paola Vélez
V00008;Quito;12/02/2025;Licuadora;5;804,36;4021,80;Paola Vélez
V00009;Guayaquil;28/01/2025;Televisión;2;475,98;951,96;Lucía Muñoz
V00010;Cuenca;09/06/2025;Batidora;4;71,85;287,40;Ramiro Zambrano
V00011;Guayaquil;19/08/2025;Licuadora;3;268,81;806,43;María José Andrade
V00012;Guayaquil;28/03/2025;Cocineta;5;75,04;375,20;Andrés Villón
V00013;Guayaquil;31/03/2025;Licuadora;4;828,53;3314,12;Gabriela Cárdenas
V00014;Quito;23/03/2025;Cocineta;2;852,24;1704,48;Andrés Villón
V00015;Guayaquil;01/08/2025;Cocineta;5;32,31;161,55;Paola Vélez
V00016;Quito;06/07/2025;Refrigeradora;4;16,12;64,48;José Luis Solórzano
V00017;Quito;10/01/2025;Licuadora;3;423,28;1269,84;Lucía Muñoz
V00018;Quito;12/08/2025;Televisión;2;318,82;637,64;José Luis Solórzano
V00019;Quito;12/03/2025;Batidora;5;310,88;1554,40;María José Andrade
V00020;Cuenca;29/01/2025;Microondas;1;668,11;668,11;Fernando Peña
V00021;Quito;20/05/2025;Microondas;3;762,01;2286,03;Gabriela Cárdenas
V00022;Quito;11/07/2025;Microondas;2;314,00;628,00;Lucía Muñoz
V00023;Quito;05/02/2025;Ventilador;4;489,11;1956,44;Lucía Muñoz
V00024;Guayaquil;11/03/2025;Aire Acondicionado;3;235,84;707,52;María José Andrade
V00025;Cuenca;04/07/2025;Microondas;1;887,56;887,56;Paola Vélez
V00026;Guayaquil;29/07/2025;Cafetera;1;805,01;805,01;Paola Vélez
V00027;Quito;19/04/2025;Lavadora;2;904,21;1808,42;María José Andrade
V00028;Quito;12/06/2025;Refrigeradora;2;890,57;1781,14;Lucía Muñoz
V00029;Cuenca;06/03/2025;Cocineta;3;239,53;718,59;Fernando Peña
V00030;Guayaquil;17/03/2025;Ventilador;4;645,55;2582,20;José Luis Solórzano
V00031;Cuenca;15/08/2025;Microondas;4;448,68;1794,72;Gabriela Cárdenas
V00032;Quito;21/08/2025;Televisión;2;614,28;1228,56;José Luis Solórzano
V00033;Quito;07/06/2025;Refrigeradora;1;662,23;662,23;Paola Vélez
V00034;Guayaquil;21/07/2025;Cocineta;4;367,04;1468,16;José Luis Solórzano
V00035;Cuenca;21/03/2025;Batidora;4;196,41;785,64;José Luis Solórzano
V00036;Guayaquil;16/02/2025;Microondas;2;761,07;1522,14;Gabriela Cárdenas
V00037;Cuenca;23/07/2025;Cafetera;2;681,90;1363,80;Fernando Peña
V00038;Quito;26/01/2025;Microondas;4;894,84;3579,36;Gabriela Cárdenas
V00039;Guayaquil;12/06/2025;Televisión;5;691,64;3458,20;Lucía Muñoz
V00040;Cuenca;01/04/2025;Aire Acondicionado;5;157,93;789,65;Ramiro Zambrano
V00041;Guayaquil;28/03/2025;Refrigeradora;4;807,53;3230,12;Fernando Peña
V00042;Cuenca;14/08/2025;Cafetera;3;532,29;1596,87;Paola Vélez
V00043;Guayaquil;04/06/2025;Cocineta;3;911,22;2733,66;José Luis Solórzano
V00044;Quito;26/06/2025;Ventilador;2;390,95;781,90;Paola Vélez
V00045;Guayaquil;06/02/2025;Refrigeradora;1;407,87;407,87;María José Andrade
V00046;Quito;26/03/2025;Microondas;4;889,19;3556,76;Andrés Villón
V00047;Guayaquil;28/05/2025;Batidora;5;321,07;1605,35;Lucía Muñoz
V00048;Cuenca;19/03/2025;Lavadora;5;190,48;952,40;Fernando Peña
V00049;Guayaquil;19/07/2025;Lavadora;5;162,04;810,20;José Luis Solórzano
V00050;Guayaquil;16/06/2025;Refrigeradora;3;83,70;251,10;Paola Vélez
V00051;Quito;15/02/2025;Licuadora;5;789,93;3949,65;Ramiro Zambrano
V00052;Cuenca;18/05/2025;Licuadora;1;507,84;507,84;Ramiro Zambrano
V00053;Quito;28/08/2025;Microondas;2;474,81;949,62;Ramiro Zambrano
V00054;Quito;01/05/2025;Aire Acondicionado;3;114,36;343,08;Ramiro Zambrano
V00055;Quito;24/08/2025;Licuadora;5;275,58;1377,90;Fernando Peña
V00056;Quito;16/04/2025;Cafetera;3;68,54;205,62;Lucía Muñoz
V00057;Cuenca;28/06/2025;Ventilador;1;197,47;197,47;José Luis Solórzano
V00058;Guayaquil;04/06/2025;Televisión;2;882,79;1765,58
V00059;Quito;24/04/2025;Cafetera;5;464,27;2321,35;José Luis Solórzano
V00060;Guayaquil;25/03/2025;Microondas;3;638,64;1915,92;María José Andrade
V00061;Quito;24/03/2025;Microondas;5;330,37;1651,85;Gabriela Cárdenas
V00062;Quito;11/01/2025;Aire Acondicionado;4;388,05;1552,20;Gabriela Cárdenas
V00063;Quito;09/08/2025;Licuadora;3;704,53;2113,59;María José Andrade
V00064;Quito;21/05/2025;Cafetera;3;660,88;1982,64;Gabriela Cárdenas
V00065;Quito;09/07/2025;4;20,34;81,36;Ramiro Zambrano
V00066;Quito;26/06/2025;Cafetera;1;154,35;154,35;José Luis Solórzano
V00067;Quito;15/03/2025;Aire Acondicionado;2;205,01;410,02;José Luis Solórzano
V00068;Cuenca;04/03/2025;Lavadora;1;218,09;218,09;José Luis Solórzano
V00069;Guayaquil;15/02/2025;Ventilador;4;843,48;3373,92;José Luis Solórzano
V00070;Quito;07/07/2025;Cafetera;2;357,59;715,18;Lucía Muñoz
V00071;Cuenca;26/06/2025;Licuadora;3;651,12;1953,36;Andrés Villón
V00072;Quito;03/02/2025;Ventilador;4;894,80;3579,20;Gabriela Cárdenas
V00073;Cuenca;04/03/2025;Televisión;2;675,83;1351,66;Paola Vélez
V00074;Guayaquil;10/01/2025;Batidora;2;785,44;1570,88;Paola Vélez
V00075;Quito;10/04/2025;Batidora;2;829,40;1658,80;Gabriela Cárdenas
V00076;Cuenca;25/01/2025;Refrigeradora;3;693,20;2079,60;Andrés Villón
V00077;Guayaquil;12/08/2025;Batidora;3;310,57;931,71;Ramiro Zambrano
V00078;Cuenca;20/05/2025;Licuadora;3;62,17;186,51;Andrés Villón
V00079;Cuenca;26/02/2025;Licuadora;1;510,52;510,52;María José Andrade
V00080;Quito;28/04/2025;Cocineta;3;793,98;2381,94;Lucía Muñoz
V00081;Guayaquil;22/07/2025;Licuadora;1;535,69;535,69;Fernando Peña
V00082;Quito;02/04/2025;Licuadora;3;574,13;1722,39;Ramiro Zambrano
V00083;Guayaquil;28/04/2025;Cafetera;4;505,63;2022,52;María José Andrade
V00084;Quito;18/07/2025;Ventilador;3;474,82;1424,46;José Luis Solórzano
V00085;Quito;22/05/2025;Batidora;4;247,00;988,00;Fernando Peña
V00086;Cuenca;29/03/2025;Cocineta;3;643,68;1931,04;Andrés Villón
V00087;Cuenca;17/07/2025;Microondas;1;940,99;940,99;María José Andrade
V00088;Quito;03/05/2025;Lavadora;4;908,23;3632,92;Gabriela Cárdenas
V00089;Quito;08/01/2025;Televisión;2;429,67;859,34;José Luis Solórzano
V00090;Guayaquil;06/04/2025;Cafetera;2;58,66;117,32;Gabriela Cárdenas
V00091;Guayaquil;22/08/2025;Aire Acondicionado;1;245,71;245,71;José Luis Solórzano
V00092;Cuenca;10/03/2025;Aire Acondicionado;5;168,05;840,25;José Luis Solórzano
V00093;Guayaquil;05/04/2025;Lavadora;4;248,17;992,68;Paola Vélez
V00094;Cuenca;29/01/2025;Cafetera;1;194,97;194,97;José Luis Solórzano
V00095;Quito;21/05/2025;Licuadora;4;484,05;1936,20;Lucía Muñoz
V00096;Cuenca;15/01/2025;Lavadora;3;438,71;1316,13;Ramiro Zambrano
V00097;Guayaquil;27/01/2025;Licuadora;2;471,61;943,22;Fernando Peña
V00098;Quito;07/01/2025;Refrigeradora;5;203,40;1017,00;Paola Vélez
V00099;Guayaquil;17/02/2025;Microondas;4;249,81;999,24;Lucía Muñoz
V00100;Quito;19/04/2025;Batidora;1;317,80;317,80;Paola Vélez
V00101;Quito;20/08/2025;Lavadora;1;889,57;889,57;Andrés Villón
V00102;Quito;21/04/2025;Aire Acondicionado;2;179,41;Ramiro Zambrano
V00103;Cuenca;16/06/2025;Lavadora;1;71,50;71,50;Paola Vélez
V00104;Guayaquil;06/01/2025;Batidora;2;405,51;811,02;Gabriela Cárdenas
V00105;Cuenca;12/04/2025;Aire Acondicionado;4;932,26;3729,04;Ramiro Zambrano
V00106;Quito;27/04/2025;Lavadora;5;241,51;1207,55;María José Andrade
V00107;Quito;14/03/2025;Aire Acondicionado;4;876,64;3506,56;Ramiro Zambrano
V00108;Quito;27/04/2025;Licuadora;1;813,53;813,53;Ramiro Zambrano
V00109;Guayaquil;21/06/2025;Televisión;2;745,88;1491,76;Ramiro Zambrano
V00110;Guayaquil;19/02/2025;Aire Acondicionado;2;600,05;1200,10;María José Andrade
V00111;Guayaquil;13/03/2025;Lavadora;3;112,63;337,89;María José Andrade
V00112;Quito;07/03/2025;Cafetera;4;784,45;3137,80;Gabriela Cárdenas
V00113;Guayaquil;26/06/2025;Ventilador;3;377,79;1133,37;María José Andrade
V00114;Guayaquil;18/02/2025;Ventilador;5;364,98;1824,90;Gabriela Cárdenas
V00115;Guayaquil;17/01/2025;Aire Acondicionado;5;406,37;2031,85;Gabriela Cárdenas
V00116;Quito;10/07/2025;Batidora;2;352,93;705,86;Ramiro Zambrano
V00117;Cuenca;02/07/2025;Batidora;1;274,29;274,29;Fernando Peña
V00118;Guayaquil;23/08/2025;Licuadora;2;73,29;146,58;Gabriela Cárdenas
V00119;Quito;30/04/2025;Cafetera;3;428,46;1285,38;José Luis Solórzano
V00120;Cuenca;01/03/2025;Aire Acondicionado;1;160,78;160,78;María José Andrade
V00121;Quito;05/07/2025;Microondas;5;139,92;699,60;José Luis Solórzano
V00122;Cuenca;16/06/2025;Batidora;2;903,98;1807,96;Lucía Muñoz
V00123;Guayaquil;06/08/2025;1;398,19;398,19;Gabriela Cárdenas
V00124;Cuenca;16/01/2025;Ventilador;5;32,84;164,20;Fernando Peña
V00125;Cuenca;26/01/2025;Cafetera;1;884,48;884,48;Andrés Villón
V00126;Guayaquil;21/07/2025;Lavadora;4;259,07;1036,28;Paola Vélez
V00127;Cuenca;04/05/2025;Batidora;3;247,77;743,31;Ramiro Zambrano
V00128;Quito;17/06/2025;Ventilador;5;903,07;4515,35;Paola Vélez
V00129;Cuenca;18/03/2025;Cocineta;1;505,02;505,02;Gabriela Cárdenas
V00130;Quito;09/06/2025;Televisión;1;393,10;393,10;Gabriela Cárdenas
V00131;Guayaquil;31/03/2025;Lavadora;4;681,96;2727,84;Gabriela Cárdenas
V00132;Cuenca;26/02/2025;Ventilador;1;325,68;325,68;Gabriela Cárdenas
V00133;Guayaquil;09/01/2025;Licuadora;3;376,18;1128,54;Ramiro Zambrano
V00134;Cuenca;10/04/2025;Cafetera;4;752,11;3008,44;Ramiro Zambrano
V00135;Quito;05/02/2025;Cafetera;2;427,54;855,08;Lucía Muñoz
V00136;Quito;25/02/2025;Batidora;1;357,96;357,96;María José Andrade
V00137;Guayaquil;18/03/2025;Cocineta;5;484,54;2422,70;Gabriela Cárdenas
V00138;Guayaquil;06/08/2025;Televisión;3;581,72;1745,16;María José Andrade
V00139;Quito;27/03/2025;Lavadora;3;767,17;2301,51;Fernando Peña
V00140;Quito;21/08/2025;Ventilador;2;311,00;622,00;María José Andrade
V00141;Guayaquil;19/05/2025;Televisión;5;482,44;2412,20;Andrés Villón
V00142;Cuenca;11/01/2025;Televisión;5;144,91;724,55;Lucía Muñoz
V00143;Quito;23/02/2025;Ventilador;4;457,27;1829,08;Lucía Muñoz
V00144;Guayaquil;26/03/2025;Batidora;3;838,81;2516,43;Lucía Muñoz
V00145;Quito;16/08/2025;Licuadora;1;496,01;496,01;Fernando Peña
V00146;Cuenca;31/03/2025;Cocineta;2;335,55;671,10;María José Andrade
V00147;Cuenca;25/02/2025;Televisión;5;387,28;1936,40;Paola Vélez
V00148;Cuenca;04/04/2025;Televisión;4;27,61;110,44;Gabriela Cárdenas
V00149;Guayaquil;19/02/2025;Batidora;5;908,17;4540,85;Fernando Peña
