cedula,nombre_completo,fecha_nacimiento,sucursal,fecha_afiliacion
0900000001,Jorge Peña Villamar,1979-08-29,Guayaquil,2009-04-15
0100000002,Xavier Suárez Bravo,2007-05-03,Cuenca,2013-05-01
1700000003,Diego Chávez Rodríguez,1983-08-03,Cuenca,2021-02-22
0900000004,Valentina Loor Loor,1971-05-31,Cuenca,2010-06-23
0900000005,Xavier Cedeño Mendoza,2001-11-09,Cuenca,2021-04-22
1700000006,Sofía Rodríguez Suárez,2014-11-24,Guayaquil,2007-02-25
0100000007,Iván Suárez Peña,1993-11-03,Guayaquil,2013-09-21
0900000008,Camila Aguirre Cárdenas,2008-10-18,Guayaquil,2021-10-07
0900000009,Patricia Suárez Vera,1982-03-23,Guayaquil,2008-12-21
0100000010,Jorge Cedeño Peña,1988-01-18,Cuenca,2011-01-19
0100000011,Valentina Loor Villamar,1956-02-03,Cuenca,2011-11-11
0900000012,Valentina Vera Suárez,1996-09-24,Cuenca,2009-03-27
0100000013,Sofía Vera Cedeño,1999-02-20,Cuenca,2023-05-29
1700000014,María Salazar Rodríguez,1983-08-30,Guayaquil,2016-02-19
1700000015,Fernando Cárdenas Mendoza,2010-09-11,Cuenca,2021-11-26
0100000016,Diego Rodríguez Mendoza,1971-02-20,Guayaquil,2015-09-07
1700000017,Carlos Aguirre Bravo,2008-02-26,Cuenca,2009-12-19
0900000018,Diego Peña Salazar,1956-12-15,Guayaquil,2010-04-13
0100000019,Iván Zambrano Mendoza,2001-05-14,Quito,2023-12-02
0900000020,Diego Suárez Villamar,1997-07-13,Cuenca,2009-03-10
0100000021,Ana Bravo Cedeño,1971-03-04,Cuenca,2005-03-13
0100000022,Ana Suárez Loor,1958-01-17,Cuenca,2017-07-06
0900000023,María Suárez Villamar,1961-10-24,Cuenca,2011-10-13
0100000024,Diego Salazar Chávez,2009-10-09,Guayaquil,2014-04-03
1700000025,Mónica Cárdenas Bravo,1970-04-26,Guayaquil,2007-08-20
0100000026,Patricia Mendoza Mendoza,1996-05-26,Quito,2014-09-29
1700000027,Sofía Villamar Loor,1964-09-04,Quito,2008-01-09
0100000028,Esteban Loor Chávez,1976-04-20,Quito,2017-08-08
0900000029,Ricardo Salazar Rodríguez,2010-02-11,Quito,2005-02-20
0900000030,Mónica Vera Suárez,1967-10-30,Quito,2016-09-10
1700000031,María Villamar Rodríguez,1973-01-09,Cuenca,2016-08-06
0100000032,Diego Aguirre Loor,2011-01-04,Cuenca,2016-10-28
1700000033,Fernando Salazar Mendoza,2004-10-27,Quito,2018-08-03
0100000034,Sofía Cárdenas Vera,1971-01-13,Quito,2012-06-16
1700000035,Paula Salazar Peña,1956-05-02,Guayaquil,2019-04-14
1700000036,Gabriela Vera Vera,1970-02-22,Quito,2021-01-01
0900000037,Patricia Cedeño Vera,1989-12-13,Quito,2022-11-18
0900000038,Paula Salazar Suárez,1994-05-29,Cuenca,2016-05-11
0900000039,Fernando Salazar Aguirre,1973-02-27,Quito,2023-12-13
1700000040,Fernando Cedeño Zambrano,1958-01-11,Guayaquil,2021-07-11
0900000041,María Cedeño Suárez,1997-08-12,Cuenca,2016-06-02
1700000042,Xavier Zambrano Chávez,2011-06-07,Quito,2005-06-27
0900000043,Carlos Suárez Cárdenas,1997-07-28,Quito,2019-12-11
0100000044,Diego Chávez Aguirre,2002-02-06,Guayaquil,2011-09-15
0900000045,Ricardo Peña Salazar,2013-06-26,Quito,2020-05-21
0100000046,Esteban Peña Cárdenas,1998-08-11,Cuenca,2014-05-25
1700000047,Paula Loor Cárdenas,2003-02-03,Cuenca,2005-07-11
1700000048,María Zambrano Zambrano,2000-02-09,Guayaquil,2005-07-22
1700000049,Paula Peña Chávez,1957-02-07,Cuenca,2007-08-04
